Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,All,All,All,All
Category,Baseline,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Dropout,Consistency,Consistency,Dropout,Dropout,Dropout,Dropout,Baseline,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Dropout,Consistency,Consistency,Dropout,Dropout,Dropout,Dropout,Technical_Metrics,Technical_Metrics,Technical_Metrics,Technical_Metrics
Sub-Category,Overall,B cell,B cell,B cell,B cell,CD14+ monocyte,CD14+ monocyte,CD14+ monocyte,CD14+ monocyte,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,Cytotoxic T cell,Cytotoxic T cell,Cytotoxic T cell,Cytotoxic T cell,Dendritic cell,Dendritic cell,Dendritic cell,Dendritic cell,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Natural killer cell,Natural killer cell,Natural killer cell,Natural killer cell,Plasma cell,Plasma cell,Plasma cell,Plasma cell,Total_Accuracy,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,Random,Num Samples,Inconsistent Predictions,FI_0.1%,FI_0.5%,FI_1.0%,FI_2.0%,Overall,B cell,B cell,B cell,B cell,CD14+ monocyte,CD14+ monocyte,CD14+ monocyte,CD14+ monocyte,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,Cytotoxic T cell,Cytotoxic T cell,Cytotoxic T cell,Cytotoxic T cell,Dendritic cell,Dendritic cell,Dendritic cell,Dendritic cell,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Natural killer cell,Natural killer cell,Natural killer cell,Natural killer cell,Plasma cell,Plasma cell,Plasma cell,Plasma cell,Total_Accuracy,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,Random,Num Samples,Inconsistent Predictions,FI_0.1%,FI_0.5%,FI_1.0%,FI_2.0%,Resource_Usage,Resource_Usage,Resource_Usage,Training_Convergence
Metric,Accuracy,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,accuracy,precision,recall,f1-score,support,precision,recall,f1-score,support,score,Count,Count,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,accuracy,precision,recall,f1-score,support,precision,recall,f1-score,support,score,Count,Count,Accuracy,Accuracy,Accuracy,Accuracy,Total_Pipeline_Time_Min,Avg_Time_per_Iteration_Sec,Peak_RAM_GB,Autoencoder_Epochs
0,0.908199547462558,0.9916666666666668,0.9916666666666668,0.9916666666666668,120.0,0.9980582524271844,0.9980582524271844,0.9980582524271844,2575.0,0.8703331097697294,0.9956521739130436,0.9287844447095313,3910.0,0.9167340339531124,0.6217105263157895,0.7409343351845802,1824.0,1.0,0.6,0.75,5.0,1.0,1.0,1.0,7.0,0.8017031630170316,0.8331226295828066,0.8171109733415995,791.0,1.0,0.8979591836734694,0.946236559139785,49.0,0.908199547462558,0.9473119032292155,0.86727117907237,0.8965989039336684,9281.0,0.9114613230337886,0.908199547462558,0.9024309640665872,9281.0,0.8944618036849477,9281,0,0.9028121969615344,0.873289516215925,0.8430126064001724,0.7939877168408577,0.8561374456634238,0.9989850291804112,0.9944430411720132,0.9967088607594936,3959.0,0.8417092179521634,0.999043062200957,0.91365227537923,3135.0,0.9170248163038958,0.9681645199063232,0.9419010323958704,13664.0,0.6150298889837745,0.7441620169456499,0.6734617542547223,4839.0,0.9762532981530344,0.6994328922495274,0.8149779735682819,529.0,0.9827586206896552,0.6627906976744186,0.7916666666666666,86.0,0.8236331569664903,0.1697564521992003,0.2814948764315853,2751.0,0.5897435897435898,1.0,0.7419354838709677,23.0,0.8561374456634238,0.8431422022466267,0.7797240852935112,0.7694748654158522,28986.0,0.8618102189006893,0.8561374456634238,0.8359190989132607,28986.0,0.8424446284413165,28986,0,0.8535499896501759,0.8347823087007521,0.8090457462223142,0.7574346236113986,136.76,2.85,17.216297149658203,121
0,0.9168193082641956,0.9915966386554622,0.9833333333333332,0.98744769874477,120.0,0.9957380860131732,0.9980582524271844,0.9968968192397208,2575.0,0.8802721088435375,0.992838874680307,0.9331730769230768,3910.0,0.9317111459968604,0.6507675438596491,0.7663008392511298,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.8299643281807372,0.8824273072060683,0.8553921568627451,791.0,0.9574468085106383,0.9183673469387756,0.9375,49.0,0.9168193082641956,0.9483411395250512,0.8532240823056647,0.8810173953062517,9281.0,0.920131335115512,0.9168193082641956,0.9120086557365068,9281.0,0.9031138885895916,9281,0,0.9129404159034586,0.8864346514384226,0.8601443809934274,0.8279280249973063,0.8580004139929621,0.9987328940699444,0.9954533973225562,0.9970904490828588,3959.0,0.8585913949027131,0.9993620414673048,0.9236438679245284,3135.0,0.912205421604686,0.980166861826698,0.9449657800042334,13664.0,0.6061565523306948,0.7121306054970035,0.6548840744963892,4839.0,0.992248062015504,0.725897920604915,0.8384279475982532,529.0,1.0,0.6395348837209303,0.7801418439716312,86.0,0.9116022099447514,0.1799345692475463,0.3005464480874317,2751.0,0.5897435897435898,1.0,0.7419354838709677,23.0,0.8580004139929621,0.8586600155764854,0.7790600349608692,0.7727044868795367,28986.0,0.8685405021426168,0.8580004139929621,0.8375970967365937,28986.0,0.8470054509073345,28986,0,0.8571034292417029,0.8399227213137377,0.8234320016559719,0.7822052025115573,126.04,2.54,17.216297149658203,112
0,0.8736127572459864,0.9916666666666668,0.9916666666666668,0.9916666666666668,120.0,0.9980582524271844,0.9980582524271844,0.9980582524271844,2575.0,0.8491924923614143,0.9951406649616368,0.9163918982571831,3910.0,0.9487836107554416,0.40625,0.5689059500959693,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.627568493150685,0.9266750948166876,0.7483409903011741,791.0,0.9782608695652174,0.9183673469387756,0.9473684210526316,49.0,0.8736127572459864,0.9241912981158262,0.8295197532263688,0.8427700937786726,9281.0,0.8938977924622286,0.8736127572459864,0.8574499185408453,9281.0,0.8600905074884171,9281,0,0.8690873828251267,0.8480767158711345,0.8341773515784937,0.8062708759831915,0.8719036776374801,0.9992389649923896,0.9949482192472848,0.9970889760789774,3959.0,0.917936694021102,0.999043062200957,0.956774095005346,3135.0,0.889652464166503,0.9948038641686182,0.939294475348098,13664.0,0.6615183815531869,0.6284356271957016,0.6445527766002543,4839.0,0.9884393063583816,0.6465028355387523,0.7817142857142857,529.0,1.0,0.6744186046511628,0.8055555555555556,86.0,0.869598180439727,0.4169392948018902,0.5636363636363636,2751.0,0.6363636363636364,0.9130434782608696,0.75,23.0,0.8719036776374801,0.8703434534868657,0.7835168732581546,0.8048270659923601,28986.0,0.8696199085060936,0.8719036776374801,0.8607980029168475,28986.0,0.8618160491271649,28986,0,0.8705926999241013,0.8502725453667288,0.8308493755606154,0.7791692541226799,140.63,2.82,17.216297149658203,126
0,0.8862191574183816,0.9916666666666668,0.9916666666666668,0.9916666666666668,120.0,0.998447204968944,0.9988349514563106,0.9986410405746458,2575.0,0.8310219756774055,0.99616368286445,0.906130045364662,3910.0,0.8880526810912511,0.5175438596491229,0.6539660547280914,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.8213367609254498,0.8078381795195955,0.8145315487571702,791.0,0.9791666666666666,0.9591836734693876,0.9690721649484536,49.0,0.8862191574183816,0.938711494499548,0.8339038767031917,0.8631795115585326,9281.0,0.8909343941992055,0.8862191574183816,0.8757611652500936,9281.0,0.8742592393061093,9281,0,0.882879000107747,0.863484538304062,0.8323456524081456,0.7916172826204073,0.8696612157593321,0.9982282966337636,0.9962111644354636,0.9972187104930468,3959.0,0.8259034555526247,0.9987240829346092,0.9041293676003466,3135.0,0.9241874738457246,0.9697745901639344,0.9464323976858796,13664.0,0.6539573545355981,0.7478817937590411,0.6977730646871686,4839.0,0.9895833333333334,0.718336483931947,0.8324205914567361,529.0,1.0,0.6511627906976745,0.7887323943661971,86.0,0.8953229398663697,0.292257360959651,0.4406686763496848,2751.0,0.6764705882352942,1.0,0.8070175438596491,23.0,0.8696612157593321,0.8704566802503385,0.79679353336029,0.8017990933123386,28986.0,0.8770396831294908,0.8696612157593321,0.85662157576806,28986.0,0.8624991375146622,28986,0,0.8696612157593321,0.8552059614986546,0.8335403298143932,0.758055613054578,143.54,2.61,17.216297149658203,129
0,0.8978558345005926,0.9754098360655736,0.9916666666666668,0.9834710743801652,120.0,0.9976699029126214,0.9976699029126214,0.9976699029126214,2575.0,0.8516326977865439,0.9938618925831202,0.9172666115897556,3910.0,0.9305555555555556,0.5509868421052632,0.6921487603305785,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.7900677200902935,0.8849557522123894,0.8348240906380441,791.0,0.9782608695652174,0.9183673469387756,0.9473684210526316,49.0,0.8978558345005926,0.9404495727469756,0.8421885504273545,0.868022179041546,9281.0,0.9048749823517624,0.8978558345005926,0.8891964626945323,9281.0,0.8697769636892575,9281,0,0.894515677189958,0.8680099127249219,0.8423661243400495,0.8030384656825773,0.8524805078313669,0.9992378048780488,0.99343268502147,0.9963267891070298,3959.0,0.904706901530465,0.9993620414673048,0.9496817217338588,3135.0,0.8646290990130532,0.9937792740046838,0.924716537846028,13664.0,0.6157146082637164,0.5635461872287663,0.5884764782045748,4839.0,0.9913544668587896,0.6502835538752363,0.7853881278538812,529.0,1.0,0.6744186046511628,0.8055555555555556,86.0,0.8977384464110127,0.331879316612141,0.4846072186836518,2751.0,0.7419354838709677,1.0,0.8518518518518519,23.0,0.8524805078313669,0.8769146013532567,0.7758377078575956,0.798325535104554,28986.0,0.851553960508063,0.8524805078313669,0.8363406318731196,28986.0,0.8411681501414476,28986,0,0.8518250189746774,0.831401366176775,0.8079072655764852,0.7566066376871593,147.25,2.81,17.291526794433594,132
0,0.8765219265165392,0.9915254237288136,0.975,0.9831932773109244,120.0,0.9972815533980582,0.9972815533980582,0.9972815533980582,2575.0,0.81696053736356,0.99539641943734,0.897394512335716,3910.0,0.8861024033437827,0.4649122807017544,0.6098525710176196,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.808641975308642,0.8280657395701644,0.8182386008744534,791.0,0.9583333333333334,0.9387755102040816,0.9484536082474226,49.0,0.8765219265165392,0.9323556533095236,0.8249289379139249,0.8532303368265957,9281.0,0.8831099742959276,0.8765219265165392,0.8631316591961059,9281.0,0.8540028014222607,9281,0,0.8728585281758431,0.8468914987609094,0.8211399633660166,0.7848292209891176,0.8117367004760919,0.999234107735512,0.9886334933063904,0.9939055358049772,3959.0,0.8365821094793058,0.9993620414673048,0.9107558139534884,3135.0,0.819580078125,0.982728337236534,0.8937699680511182,13664.0,0.5561325420375866,0.4647654474064889,0.5063604638072723,4839.0,0.9930313588850174,0.5387523629489603,0.6985294117647058,529.0,1.0,0.6395348837209303,0.7801418439716312,86.0,0.8554913294797688,0.1613958560523446,0.2715596330275229,2751.0,0.6,0.9130434782608696,0.7241379310344828,23.0,0.8117367004760919,0.8325064407177738,0.711026987549978,0.7223950751768998,28986.0,0.8089108721593672,0.8117367004760919,0.7815211688776499,28986.0,0.7910025529565996,28986,0,0.8089767473952942,0.7866901262678534,0.7585386048437177,0.682570896294763,165.01,2.55,17.322460174560547,150
0,0.8770606615666415,0.9916666666666668,0.9916666666666668,0.9916666666666668,120.0,0.9988349514563106,0.9988349514563106,0.9988349514563106,2575.0,0.8213833825390131,0.99616368286445,0.9003698566805363,3910.0,0.8390596745027125,0.5087719298245614,0.6334470989761092,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.8379562043795621,0.7256637168141593,0.7777777777777778,791.0,0.9772727272727272,0.8775510204081632,0.9247311827956988,49.0,0.8770606615666415,0.933271700852124,0.8123314960042889,0.8497820132227089,9281.0,0.8787591416141672,0.8770606615666415,0.8659891004406503,9281.0,0.8572675358258808,9281,0,0.8745824803361707,0.8425816183600905,0.8156448658549725,0.7800883525482167,0.8432691644242047,0.9992391580015216,0.9952008082849204,0.9972158947102,3959.0,0.9120559114735004,0.999043062200957,0.9535697975338712,3135.0,0.8812649550539998,0.9972921545667448,0.9356954028907886,13664.0,0.5668883961566888,0.6340152924157884,0.5985757487074431,4839.0,0.98989898989899,0.555765595463138,0.711864406779661,529.0,1.0,0.686046511627907,0.8137931034482758,86.0,0.8674351585014409,0.1094147582697201,0.1943189154293092,2751.0,0.7096774193548387,0.9565217391304348,0.8148148148148148,23.0,0.8432691644242047,0.8658074985551225,0.7416624902449512,0.7524810105392955,28986.0,0.8491117667562517,0.8432691644242047,0.8148466028665972,28986.0,0.8308873249154765,28986,0,0.8413371972676464,0.8235010004829918,0.7985579245152833,0.7223142206582488,164.91,2.62,17.35604476928711,150
